"county","date","actual_cases"
"宜蘭縣","2020-02-23",1
"苗栗縣","2020-02-23",0
"彰化縣","2020-02-23",5
"南投縣","2020-02-23",2
"雲林縣","2020-02-23",0
"嘉義縣","2020-02-23",0
"屏東縣","2020-02-23",0
"澎湖縣","2020-02-23",0
"花蓮縣","2020-02-23",0
"台東縣","2020-02-23",0
"金門縣","2020-02-23",0
"連江縣","2020-02-23",0
"台北市","2020-02-24",7
"台中市","2020-02-24",4
"台南市","2020-02-24",1
"高雄市","2020-02-24",2
"基隆市","2020-02-24",0
"新竹市","2020-02-24",0
"嘉義市","2020-02-24",0
"新北市","2020-02-24",7
"桃園市","2020-02-24",1
"新竹縣","2020-02-24",0
"宜蘭縣","2020-02-24",1
"苗栗縣","2020-02-24",0
"彰化縣","2020-02-24",5
"南投縣","2020-02-24",2
"雲林縣","2020-02-24",0
"嘉義縣","2020-02-24",0
"屏東縣","2020-02-24",0
"澎湖縣","2020-02-24",0
"花蓮縣","2020-02-24",0
"台東縣","2020-02-24",0
"金門縣","2020-02-24",0
"連江縣","2020-02-24",0
"台北市","2020-02-25",7
"台中市","2020-02-25",4
"台南市","2020-02-25",1
"高雄市","2020-02-25",2
"基隆市","2020-02-25",0
"新竹市","2020-02-25",0
"嘉義市","2020-02-25",0
"新北市","2020-02-25",8
"桃園市","2020-02-25",1
"新竹縣","2020-02-25",0
"宜蘭縣","2020-02-25",1
"苗栗縣","2020-02-25",0
"彰化縣","2020-02-25",5
"南投縣","2020-02-25",2
"雲林縣","2020-02-25",0
"嘉義縣","2020-02-25",0
"屏東縣","2020-02-25",0
"澎湖縣","2020-02-25",0
"花蓮縣","2020-02-25",0
"台東縣","2020-02-25",0
"金門縣","2020-02-25",0
"連江縣","2020-02-25",0
"台北市","2020-02-26",7
"台中市","2020-02-26",4
"台南市","2020-02-26",1
"高雄市","2020-02-26",2
"基隆市","2020-02-26",0
"新竹市","2020-02-26",0
"嘉義市","2020-02-26",0
"新北市","2020-02-26",9
"桃園市","2020-02-26",1
"新竹縣","2020-02-26",0
"宜蘭縣","2020-02-26",1
"苗栗縣","2020-02-26",0
"彰化縣","2020-02-26",5
"南投縣","2020-02-26",2
"雲林縣","2020-02-26",0
"嘉義縣","2020-02-26",0
